word	part_of_speech	category
eolith	n	Minerals and Geology
chrome	n,v	Actions and Roles
lunate	a	"""L-"" Words"
mojo	n	Fast-Paced and Intense Activities and States
pommy	n	Occupations and Personal Descriptors
enfold	v	Clothing, Materials and Dressing Actions
tappet	n	"""T-"" Words and Pairs"
molar	a,n	"""M-"" Words"
quinsy	n	Hygiene, Health, and Bodily Functions
blame	a,n,v	Verbs and Actions
ruff	n,v	"""R-"" Words and Rotational Movements"
ut	n	Actions and Roles
polony	n	"""P-"" Words"
trio	n	"""T-"" Words and Pairs"
chacma	n	Animals and Animal-Related Terms
hopple	v	"""H-"" Words"
ceibo	n	Plant and Tree Species
cant	n,v	"""C-"" Words and Items"
headed	a	"""C-"" Words and Items"
byway	n	Modes of Transportation and Travel
plug	n,v	Binding, Restraining and Undoing
uveous	a	Anatomical and Biological Terms
knawel	n	Nouns and Actions
ionic	a	Chemical Compounds and Reactions
ludic	a	Gossip, Deception, and Games
muskat	n	Negative and Disturbing Adjectives
aunt	n	Gender, Family and Greetings
masked	a	Actions and Roles
dot	n,v	Words Related to Shapes and Textures
build	n,v	Actions and Roles
kookie	a	Food, Cooking, and Ingredients
played	a	Gossip, Deception, and Games
resect	v	"""S-"" Words"
thick	a,n	Weight, Strength, and Body Descriptors
satiny	a	Clothing, Materials and Dressing Actions
dice	n,v	"Items, Actions and Concepts Starting with ""D"""
canard	n	Animals and Animal-Related Terms
flack	n	Negative and Disturbing Adjectives
rubble	n	"""R-"" Words and Rotational Movements"
conker	n	"""C-"" Words and Items"
half	a,n	"""P-"" Words"
corm	n	"""C-"" Words and Items"
verdin	n	Negative and Disturbing Adjectives
slog	v	Words Related to Shapes and Textures
piquet	n	"""P-"" Words"
tansy	n	Plant and Tree Species
dote	v	Praise and Positivity
hobo	n	"""H-"" Words"
foram	n	"Starting with ""A"" or ""E"""
alter	v	Actions and Roles
bedbug	n	Medical, Insects, and Skin Conditions
edema	n	Medical, Insects, and Skin Conditions
lesson	n	Actions and Roles
sidle	v	Actions and Descriptions
airy	a	"Starting with ""A"" or ""E"""
bowel	n	"""B-"" Words and Objects"
mangey	a	"""M-"" Words"
node	n	Nouns and Actions
plane	a,n,v	Actions and Roles
worm	n,v	Medical, Insects, and Skin Conditions
faucal	a	Negative and Disturbing Adjectives
hunter	n	Modes of Transportation and Travel
offish	a	"""O-"" Words"
actual	a	Gossip, Deception, and Games
dhow	n	Animals and Animal-Related Terms
latte	n	"""L-"" Words"
fried	a	Food, Cooking, and Ingredients
trophy	n	Praise and Positivity
cayman	n	"""C-"" Words and Items"
struck	a	Actions and Descriptions
banded	a	"""B-"" Words and Objects"
mete	n	"""M-"" Words"
engage	v	Actions and Roles
gasify	v	Verbs and Actions
cagey	a	Personal Characteristics and Behaviors
raper	n	Crimes, Violence and Misdeeds
frier	n	Temperature and Heat-Related Terms
armory	n	Weapons and Cutting Tools
fresh	a	Nouns and Actions
known	a	Actions and Roles
roan	a,n	"""R-"" Words and Rotational Movements"
ionate	v	Chemical Compounds and Reactions
calif	n	Islamic and Middle Eastern Terms
parer	n	"""P-"" Words"
mayhaw	n	Plant and Tree Species
carve	v	Weapons and Cutting Tools
snug	a,n	Negative and Disturbing Adjectives
dinkey	n	"Items, Actions and Concepts Starting with ""D"""
claver	v	"""C-"" Words and Items"
vanity	n	Praise and Positivity
voyeur	n	Actions and Roles
carp	n,v	"""C-"" Words and Items"
blink	n,v	Lights, Colors, and Visibility
repand	a	Verbs of Action and Change
pixel	n	Actions and Roles
sprog	n	Communication and Media
leging	n	"""L-"" Words"
uppity	a	Negative and Disturbing Adjectives
broad	a,n	Actions and Roles
tumor	n	Medical, Insects, and Skin Conditions
uplink	n	Binding, Restraining and Undoing
splice	n,v	Words Related to Shapes and Textures
pom	n	"""P-"" Words"
unjust	a	Negative and Disturbing Adjectives
vaping	n	Food, Cooking, and Ingredients
papism	n	"""P-"" Words"
atar	n	"Starting with ""A"" or ""E"""
barrow	n	"""B-"" Words and Objects"
cushat	n	"""C-"" Words and Items"
frothy	a	Negative and Disturbing Adjectives
rut	n,v	"""R-"" Words and Rotational Movements"
sombre	a	Emotional and Physical States
samara	n	"""S-"" Words"
print	n,v	Actions and Roles
pogy	n	"""B-"" Words and Objects"
saying	n	Communication and Media
neo	a	Nouns and Actions
prole	n	Negative and Disturbing Adjectives
lumber	n,v	Plant and Tree Species
permed	a	"""C-"" Words and Items"
thigh	n	Body Parts and Related Terms
soffit	n	Places and Spaces
taxi	n,v	Modes of Transportation and Travel
woad	n	Actions and Descriptions
odd	a	Negative and Disturbing Adjectives
verb	n	Actions and Roles
varan	n	Actions and Roles
vixen	n	Negative and Disturbing Adjectives
sen	n	"""S-"" Words"
shiva	n	Actions and Descriptions
obechi	n	"""O-"" Words"
moray	n	Animals and Animal-Related Terms
boards	n	Actions and Roles
nomia	n	Nouns and Actions
yaw	n,v	Gender, Family and Greetings
flagon	n	Food, Cooking, and Ingredients
busty	a	Weight, Strength, and Body Descriptors
crabs	n	Animals and Animal-Related Terms
shawl	n	Clothing, Materials and Dressing Actions
hurl	n,v	Actions and Descriptions
trave	n	Modes of Transportation and Travel
vulval	a	Anatomical and Biological Terms
pants	n	Clothing, Materials and Dressing Actions
tubing	n	"""T-"" Words and Pairs"
movie	n	Communication and Media
kalmia	n	Plant and Tree Species
shumac	n	Plant and Tree Species
pongee	n	Negative and Disturbing Adjectives
sector	n	Actions and Roles
chevre	n	Animals and Animal-Related Terms
skua	n	Animals and Animal-Related Terms
pipe	n,v	"""P-"" Words"
epigon	n	"Starting with ""A"" or ""E"""
dicot	n	Plant and Tree Species
jot	n,v	Actions and Roles
diatom	n	Animals and Animal-Related Terms
wow	n,v	Actions and Descriptions
peeler	n	"""P-"" Words"
arid	a	Temperature and Heat-Related Terms
shirty	a	Clothing, Materials and Dressing Actions
brook	n,v	"""B-"" Words and Objects"
pestle	n,v	Minerals and Geology
